ISO	WALS	AUTOTYP	Glottolog	Name.ethn	Name.wals	Name.autotyp	Name.glottlog	Latitude	Longitude	UULID
			amba1268				Ambasi	NA	NA	[i-][w-][a-][g-amba1268]
			ambe1246				Ambermo	-1.763355	137.903651	[i-][w-][a-][g-ambe1246]
			ambo1247				Ambodi	NA	NA	[i-][w-][a-][g-ambo1247]
			ambo1248				Ambo {Lala-Bisa}	NA	NA	[i-][w-][a-][g-ambo1248]
			ambo1255				Ambon Malay	NA	NA	[i-][w-][a-][g-ambo1255]
			ambu1244				Ambumi	NA	NA	[i-][w-][a-][g-ambu1244]
			ambu1245				Ambual	NA	NA	[i-][w-][a-][g-ambu1245]
			amdo1238				Amdo of Hor	NA	NA	[i-][w-][a-][g-amdo1238]
			amen1242				Amenfi	NA	NA	[i-][w-][a-][g-amen1242]
			amen1243				Amengi	NA	NA	[i-][w-][a-][g-amen1243]
			amer1254				Latin American Spanish	NA	NA	[i-][w-][a-][g-amer1254]
			amer1255				American Indian Pidgin English	NA	NA	[i-][w-][a-][g-amer1255]
			amer1259				American Inland South English	NA	NA	[i-][w-][a-][g-amer1259]
			amer1260				American Sign Language in the USA	NA	NA	[i-][w-][a-][g-amer1260]
			amey1234				Ameyaltepec-Xalitla	NA	NA	[i-][w-][a-][g-amey1234]
			amfo1237				Amfoan-Fatule`u	NA	NA	[i-][w-][a-][g-amfo1237]
			amie1238				Amienois	NA	NA	[i-][w-][a-][g-amie1238]
			amis1245				Amish Pennsylvania German	NA	NA	[i-][w-][a-][g-amis1245]
			amoi1234				Amoipira	NA	NA	[i-][w-][a-][g-amoi1234]
			amon1239				Amongme	NA	NA	[i-][w-][a-][g-amon1239]
			amor1238				Yamoti	NA	NA	[i-][w-][a-][g-amor1238]
			amor1239				Amorite	34.71	40.72	[i-][w-][a-][g-amor1239]
			amor1240				Amorei	NA	NA	[i-][w-][a-][g-amor1240]
			amot1239				Amotomanco	NA	NA	[i-][w-][a-][g-amot1239]
			amot1240				Amota	NA	NA	[i-][w-][a-][g-amot1240]
			amou1238				Amou Oblou	NA	NA	[i-][w-][a-][g-amou1238]
			ampa1240				Ampana-Togian	NA	NA	[i-][w-][a-][g-ampa1240]
			ampe1238				Ampezzano	NA	NA	[i-][w-][a-][g-ampe1238]
			ampi1237				Ampibabo	-0.5	120	[i-][w-][a-][g-ampi1237]
			ampi1238				Ampiini	NA	NA	[i-][w-][a-][g-ampi1238]
			amra1237				Amravati	NA	NA	[i-][w-][a-][g-amra1237]
			amru1234				Amrum	NA	NA	[i-][w-][a-][g-amru1234]
			amtr1234				Am Trakt-Alexandertal	NA	NA	[i-][w-][a-][g-amtr1234]
			amub1238				Amubre-Katsi	NA	NA	[i-][w-][a-][g-amub1238]
			amug1239				Amugen	NA	NA	[i-][w-][a-][g-amug1239]
			amun1244				Amun	NA	NA	[i-][w-][a-][g-amun1244]
			amun1245				Amung	NA	NA	[i-][w-][a-][g-amun1245]
			amur1242				Amur-West Sakhalin Nivkh	NA	NA	[i-][w-][a-][g-amur1242]
			amur1243				Amuru	NA	NA	[i-][w-][a-][g-amur1243]
			amur1244				Amur basin Solon	NA	NA	[i-][w-][a-][g-amur1244]
			amuu1238				Amu	NA	NA	[i-][w-][a-][g-amuu1238]
			amux1234				Amux	NA	NA	[i-][w-][a-][g-amux1234]
			anam1251				Anambe of Ehrenreich	NA	NA	[i-][w-][a-][g-anam1251]
			anan1238				Ananjubi	NA	NA	[i-][w-][a-][g-anan1238]
			anar1241				Anarak	NA	NA	[i-][w-][a-][g-anar1241]
			anar1243				Anarya	NA	NA	[i-][w-][a-][g-anar1243]
			anat1247				Anatri	NA	NA	[i-][w-][a-][g-anat1247]
			anat1252				Anatolia	NA	NA	[i-][w-][a-][g-anat1252]
			anat1256				Anatolian Cluster	NA	NA	[i-][w-][a-][g-anat1256]
			anat1259				Anatolian Turkish	39.87	32.87	[i-][w-][a-][g-anat1259]
			anat1260				Anatolian Bulgarian	NA	NA	[i-][w-][a-][g-anat1260]
			anat1261				Anatolian Qeltu	NA	NA	[i-][w-][a-][g-anat1261]
			anau1242				Anauli	NA	NA	[i-][w-][a-][g-anau1242]
			anau1243				Anauya	1.480584	-65.413237	[i-][w-][a-][g-anau1243]
			anca1243				Ancalong Kutai	NA	NA	[i-][w-][a-][g-anca1243]
			anch1238				Anchix	NA	NA	[i-][w-][a-][g-anch1238]
			anch1240				Ancho	NA	NA	[i-][w-][a-][g-anch1240]
			anci1249				Ancient North Greek	40.825	22.144	[i-][w-][a-][g-anci1249]
