Family	Tree
Wiru	(('Wiru [i-wiu][w-][a-410][g-wiru1244]')'Wiru [i-][w-][a-][g-]');
Chimbu-Wahgi	((('Imbongu [i-imo][w-][a-3061][g-imbo1238]','Melpa [i-med][w-][a-3059][g-melp1238]','Kaugel [i-ubu][w-kgl][a-2667][g-umbu1258]')'Hagen [i-][w-][a-][g-]',('Maring [i-mbw][w-mav][a-1944][g-mari1435]')'Jimi [i-][w-][a-][g-]',('Nii [i-nii][w-][a-3060][g-niii1240]','Wahgi [i-wgi][w-][a-2698][g-nucl1620]','Ku Waru [i-whg][w-][a-437][g-nort2921]')'Wahgi [i-][w-][a-][g-]',('Dom [i-doa][w-][a-2932][g-domm1246]','Tabare [i-sst][w-tba][a-2486][g-sina1271]','Kuman [i-kue][w-kmn][a-1835][g-kuma1280]','Golin [i-gvf][w-gln][a-1578][g-goli1247]','Chuave [i-cjv][w-cve][a-1154][g-chua1250]','Salt-Yui [i-sll][w-syu][a-345][g-salt1242]')'Chimbu [i-][w-][a-][g-]')'Chimbu-Wahgi [i-][w-][a-][g-]');
Eastern Highlands	((('Waffa [i-waj][w-][a-3082][g-waff1241]','Kosena [i-kze][w-][a-3081][g-kose1239]','Tairora [i-tbg][w-trr][a-2523][g-nort2920]','Gadsup [i-gaj][w-gds][a-1518][g-gads1258]','Binumarien [i-bjr][w-bnm][a-1026][g-binu1245]','Awa [i-awb][w-awa][a-945][g-awap1236]','Auyana [i-auy][w-auy][a-940][g-awiy1238]','Agarabi [i-agd][w-aga][a-848][g-agar1252]','Usarufa [i-usa][w-usr][a-232][g-usar1243]')'Kainantu [i-][w-][a-][g-]',('Yagaria [i-ygr][w-hua-ygr][a-2869][g-yaga1260]','Gende [i-gaf][w-][a-2829][g-gend1249]','Siane [i-snp][w-sia][a-2459][g-sian1257]',('Alekano [i-gah][w-gah][a-1517][g-alek1238]')'Gahuku [i-][w-][a-][g-]','Fore [i-for][w-for][a-1494][g-fore1270]','Benabena [i-bef][w-beb][a-993][g-bena1264]',('Kanite [i-kmu][w-][a-3078][g-kani1286]','Kamano-Kafe [i-kbq][w-kak][a-1709][g-kama1370]','Hua [i-ygr][w-hua-ygr][a-103][g-yaga1260]')'Kamano-Yagaria [i-][w-][a-][g-]')'Gorokan [i-][w-][a-][g-]')'Eastern Highlands [i-][w-][a-][g-]');
Greater Binanderean	((('Guhu-Samane [i-ghs][w-guh][a-1539][g-guhu1244]')'Guhu-Samane [i-][w-][a-][g-]',(('Baruga [i-bjz][w-][a-3076][g-baru1269]','Ewage-Notu [i-nou][w-][a-3055][g-ewag1241]','Orokaiva [i-ork][w-][a-2255][g-orok1269]','Korafe [i-kpr][w-krf][a-1806][g-kora1294]','Binandere [i-bhg][w-bin][a-1010][g-bina1277]')'Nuclear Binanderean [i-][w-][a-][g-]',('Zia [i-zia][w-][a-3054][g-ziaa1250]','Suena [i-sue][w-sue][a-358][g-suen1241]')'North Binanderean [i-][w-][a-][g-]')'Binanderean [i-][w-][a-][g-]')'Greater Binanderean [i-][w-][a-][g-]');
Koiarian	((('Koita [i-kqi][w-kta][a-1810][g-koit1244]','Koiari [i-kbk][w-koi][a-669][g-gras1249]','Koiali {Mountain} [i-kpx][w-kmo][a-486][g-moun1252]')'Koiaric [i-][w-][a-][g-]',('Ese [i-mcq][w-][a-3058][g-esee1247]','Omie [i-aom][w-omi][a-904][g-omie1241]','Barai [i-bbb][w-][a-31][g-nucl1630]')'Baraic [i-][w-][a-][g-]')'Koiarian [i-][w-][a-][g-]');
Madang	((('Waskia [i-wsk][w-wsk][a-407][g-wask1241]')'Isumrud [i-][w-][a-][g-]',('Siroi [i-ssd][w-sro][a-2479][g-siro1249]','Bongu [i-bpu][w-bon][a-1057][g-bong1291]','Tauya [i-tya][w-tau][a-367][g-tauy1241]')'Rai Coast [i-][w-][a-][g-]',('Mauwake [i-mhl][w-][a-3210][g-mauw1238]','Mugil [i-mlp][w-mug][a-2031][g-barg1252]',('Usan [i-wnu][w-usa][a-393][g-usan1239]')'Numugenan [i-][w-][a-][g-]',('Garus [i-gyb][w-grs][a-1587][g-garu1246]','Bau [i-bbd][w-bau][a-969][g-bauu1244]','Amele [i-aey][w-ame][a-20][g-amel1241]')'Mabuso [i-][w-][a-][g-]')'Croisilles [i-][w-][a-][g-]',(('Anamuxra [i-imi][w-amx][a-1645][g-anam1248]','Nend [i-anh][w-nnd][a-894][g-nend1239]')'South Adelbert [i-][w-][a-][g-]',('Kalam [i-kmh][w-klq][a-1782][g-kala1397]','Kobon [i-kpw][w-kob][a-136][g-kobo1249]')'Kalam-Kobon [i-][w-][a-][g-]')'Kalamic-South Adelbert [i-][w-][a-][g-]')'Madang [i-][w-][a-][g-]');
Kwalean	(('Mulaha [i-mfw][w-][a-153][g-mula1254]')'Kwalean [i-][w-][a-][g-]');
Finisterre-Huon	(((('Numanggang [i-nop][w-][a-3064][g-numa1254]')'Erap [i-][w-][a-][g-]',('Awara [i-awx][w-][a-3063][g-awar1248]','Wantoat [i-wnc][w-wnt][a-2729][g-want1252]')'Wantoat [i-][w-][a-][g-]',('Iyo [i-nca][w-][a-3062][g-iyoo1238]','Rawa [i-rwo][w-rwa][a-2391][g-rawa1267]')'Gusap-Mot [i-][w-][a-][g-]',('Nankina [i-nnk][w-nnk][a-2189][g-nank1250]')'Yupna [i-][w-][a-][g-]')'Finisterre [i-][w-][a-][g-]',(('Timbe [i-tim][w-][a-3077][g-timb1251]','Selepet [i-spl][w-slp][a-2413][g-sele1250]','Ono [i-ons][w-ono][a-2253][g-onoo1246]','Nabak [i-naf][w-nab][a-2127][g-naba1256]','Burum [i-bmu][w-bmr][a-1041][g-buru1306]')'Western Huon [i-][w-][a-][g-]',('Borong [i-ksr][w-][a-3065][g-boro1279]','Kate [i-kmg][w-kat][a-126][g-kate1253]')'Eastern Huon [i-][w-][a-][g-]')'Huon [i-][w-][a-][g-]')'Finisterre-Huon [i-][w-][a-][g-]');
Lower Mamberamo	(('Warembori [i-wsa][w-wrm][a-402][g-ware1253]')'Lower Mamberamo [i-][w-][a-][g-]');
Taurap	(('Burmeso [i-bzu][w-][a-366][g-burm1264]')'Taurap [i-][w-][a-][g-]');
East Cenderawasih Bay	((('Kirikiri [i-kiy][w-kkr][a-133][g-kiri1256]')'Tariku [i-][w-][a-][g-]','Bauzi [i-bvz][w-bzi][a-33][g-bauz1241]')'East Cenderawasih Bay [i-][w-][a-][g-]');
Lakes Plain	((('Sikaritai [i-tty][w-skr][a-2632][g-sika1263]','Doutai [i-tds][w-dou][a-2542][g-dout1240]','Obokuitai [i-afz][w-obk][a-847][g-obok1239]','Iau [i-tmu][w-iau][a-109][g-iauu1242]')'Tariku [i-][w-][a-][g-]')'Lakes Plain [i-][w-][a-][g-]');
Macro-Ok	((('Kati {West Papua and Indonesia} [i-bsh][w-ktz][a-2784][g-kati1270]')'Lowland Ok [i-][w-][a-][g-]',(('Wambon [i-wms][w-wbn][a-2727][g-wamb1259]')'Dumut [i-][w-][a-][g-]',('Pisa [i-psa][w-pis][a-2336][g-asue1235]')'Awyu [i-][w-][a-][g-]','Aghu [i-ahh][w-ahu][a-857][g-aghu1255]','Korowai [i-khe][w-krw][a-656][g-koro1312]','Kombai [i-tyn][w-][a-138][g-komb1274]')'Awyu-Dumut [i-][w-][a-][g-]',('Oksapmin [i-opm][w-oks][a-322][g-oksa1245]')'Oksapmin [i-][w-][a-][g-]',('Mian [i-mpt][w-mpt][a-2984][g-mian1256]','Tifal [i-tif][w-tif][a-2568][g-tifa1245]','Telefol [i-tlf][w-tlf][a-370][g-tele1256]')'Mountain Ok [i-][w-][a-][g-]',('Kamoro [i-kgq][w-kmr][a-1742][g-kamo1255]','Asmat [i-asc][w-][a-26][g-casu1237]')'Asmat-Kamoro [i-][w-][a-][g-]')'Macro-Ok [i-][w-][a-][g-]');
Marind	(('Zimakani [i-zik][w-zim][a-2807][g-zima1244]','Inanwatan [i-szp][w-ina][a-2508][g-suab1238]','Arandai [i-jbj][w-ard][a-1674][g-aran1237]','Yaqay [i-jaq][w-yqy][a-1672][g-yaqa1246]','Marind [i-mrz][w-mrd][a-557][g-nucl1622]','Boazi [i-kvg][w-boa][a-38][g-kuni1265]')'Marind [i-][w-][a-][g-]');
Kolopom	(('Riantana [i-ran][w-ria][a-2362][g-rian1263]','Kimaama [i-kig][w-kim][a-131][g-kima1246]')'Kolopom [i-][w-][a-][g-]');
Kiwaian	(('Kiwai [i-kiw][w-kiw][a-134][g-nort2930]')'Kiwaian [i-][w-][a-][g-]');
South Central Papuan	(((((('Ngkalmpw Knwme [i-kcd][w-knp][a-211][g-ngka1235]')'Kanum [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'Group2 [i-][w-][a-][g-]')'Morehead and Upper Maro Rivers [i-][w-][a-][g-]')'South Central Papuan [i-][w-][a-][g-]');
Pawaian	(('Pawaian [i-pwa][w-paw][a-330][g-pawa1255]')'Pawaian [i-][w-][a-][g-]');
Nimboran	(('Kemtuik [i-kmt][w-kmt][a-1785][g-kemt1242]','Nimboran [i-nir][w-nim][a-212][g-nucl1633]')'Nimboran [i-][w-][a-][g-]');
Morwap	(('Elseng [i-mrf][w-els][a-190][g-else1239]')'Morwap [i-][w-][a-][g-]');
Macro-Skou	(('Skou [i-skv][w-sko][a-2849][g-nucl1634]',('Krisa [i-ksi][w-isa][a-307][g-kris1246]')'Krisa [i-][w-][a-][g-]',('Barupu [i-wra][w-brp][a-3198][g-wara1302]','Sko [i-skv][w-sko][a-2440][g-nucl1634]',(('Poko-Rawo [i-rwa][w-pok][a-2390][g-rawo1244]','Womo [i-wmx][w-][a-812][g-womo1238]')'Serra Hills [i-][w-][a-][g-]',('Vanimo [i-vam][w-dum][a-395][g-vani1248]')'Skou [i-][w-][a-][g-]')'Group2 [i-][w-][a-][g-]')'Skou-Serra-Warapu [i-][w-][a-][g-]')'Macro-Skou [i-][w-][a-][g-]');
Border	(('Kilmeri [i-kih][w-][a-3051][g-kilm1241]',('Awyi [i-auw][w-awy][a-939][g-awyi1241]')'Taikat [i-][w-][a-][g-]',('Manem [i-jet][w-mem][a-1681][g-mane1266]','Amanab [i-amn][w-amn][a-480][g-aman1265]','Imonda [i-imn][w-imo][a-112][g-imon1245]','Waris [i-wrs][w-wrs][a-403][g-wari1266]')'Waris [i-][w-][a-][g-]')'Border [i-][w-][a-][g-]');
Karkar	(('Karkar [i-yuj][w-kyr][a-427][g-kark1258]')'Karkar [i-][w-][a-][g-]');
Sepik	((('Wogamusin [i-wog][w-wog][a-2733][g-woga1249]')'Wogamusin-Chenapian [i-][w-][a-][g-]',('Namia [i-nnm][w-nam][a-2190][g-nami1256]')'Yellow River [i-][w-][a-][g-]',('Seim [i-sim][w-][a-3085][g-mend1268]','Kwoma [i-kmo][w-kwo][a-1784][g-kwom1262]')'Nukuma [i-][w-][a-][g-]',('Iwam {Sepik} [i-iws][w-][a-3083][g-sepi1255]','Iwam [i-iwm][w-iwm][a-1663][g-iwam1256]')'Iwamic [i-][w-][a-][g-]','Abau [i-aau][w-aba][a-820][g-abau1245]',('Ngala [i-nud][w-][a-2835][g-ngal1300]','Hanga Hundi [i-wos][w-hhu][a-2736][g-hang1263]','Manambu [i-mle][w-mbu][a-2028][g-mana1298]','Iatmul [i-ian][w-iat][a-1630][g-iatm1242]','Boiken [i-bzf][w-boi][a-1100][g-boik1241]','Ambulas [i-abt][w-amb][a-6][g-ambu1247]')'Middle Sepik {Ndu} [i-][w-][a-][g-]',('Awtuw [i-kmn][w-awt][a-28][g-awtu1239]')'Ram [i-][w-][a-][g-]',('Saniyo-Hiyewe [i-sny][w-][a-3087][g-sani1270]','Hewa [i-ham][w-][a-3086][g-hewa1241]','Berinomo [i-bit][w-][a-3030][g-beri1253]','Sare [i-dju][w-sar][a-1336][g-kapr1245]','Bahinemo [i-bjh][w-bhn][a-1024][g-bahi1254]','Alamblak [i-amp][w-ala][a-14][g-alam1246]')'Sepik Hill [i-][w-][a-][g-]',('Mehek [i-nux][w-mhk][a-2222][g-mehe1243]','Yessan-Mayo [i-yss][w-yes][a-419][g-yess1239]')'Tama Sepik [i-][w-][a-][g-]')'Sepik [i-][w-][a-][g-]');
Torricelli	((('Kamasau [i-kms][w-kmz][a-3075][g-kama1367]')'Marienberg [i-][w-][a-][g-]',('Urat [i-urt][w-urt][a-3180][g-urat1244]','Yil [i-yll][w-yil][a-2780][g-yill1241]','Walman [i-van][w-wal][a-2684][g-valm1241]','Olo [i-ong][w-olo][a-2251][g-oloo1241]','Ningil [i-niz][w-nin][a-2175][g-ning1273]','Au [i-avt][w-au][a-943][g-auuu1241]')'Wapei-Palei [i-][w-][a-][g-]','One [i-aun][w-one][a-938][g-molm1235]',('Kombio [i-xbi][w-xbi][a-3072][g-komb1272]',('Mufian [i-aoj][w-aoj][a-3070][g-mufi1238]','Arapesh {Abu} [i-ado][w-][a-746][g-abuu1241]','Bukiyip [i-ape][w-arp][a-499][g-buki1249]','Arapesh [i-aon][w-][a-24][g-bumb1241]')'Arapesh [i-][w-][a-][g-]')'Kombio [i-][w-][a-][g-]')'Torricelli [i-][w-][a-][g-]');
Lower Sepik - Ramu	((('Rao [i-rao][w-rao][a-2363][g-raoo1244]')'Annaberg [i-][w-][a-][g-]','Kambot [i-kbx][w-kbo][a-1712][g-apma1241]',((('Watam [i-wax][w-wtm][a-2705][g-wata1253]','Kaian [i-kct][w-kai][a-1718][g-kaia1245]')'Watam-Kaian [i-][w-][a-][g-]')'Watam-Gamay-Awar [i-][w-][a-][g-]',('Mikarew [i-msy][w-mkr][a-2087][g-arua1260]','Kire [i-geb][w-kie][a-1532][g-kire1240]')'Mikarew-Kire {MK} [i-][w-][a-][g-]')'Lower Ramu [i-][w-][a-][g-]',(('Murik [i-mtf][w-mrk][a-2089][g-muri1260]')'Murik-Kopar [i-][w-][a-][g-]','Chambri [i-can][w-chb][a-1112][g-cham1313]',('Yimas [i-yee][w-yim][a-420][g-yima1243]')'Yimas-Karawari [i-][w-][a-][g-]')'Lower Sepik [i-][w-][a-][g-]')'Lower Sepik - Ramu [i-][w-][a-][g-]');
Gapun	(('Gapun [i-gpn][w-tap][a-83][g-taia1239]')'Gapun [i-][w-][a-][g-]');
Sulka	(('Sulka [i-sua][w-sul][a-359][g-sulk1246]')'Sulka [i-][w-][a-][g-]');
West New Britain	(('Anem [i-anz][w-ane][a-22][g-anem1249]')'West New Britain [i-][w-][a-][g-]');
South Bougainville	(('Buin [i-buo][w-bun][a-1084][g-tere1278]',('Nasioi [i-nas][w-nas][a-440][g-naas1242]')'Nasioi [i-][w-][a-][g-]',('Motuna [i-siw][w-mot][a-191][g-siwa1245]')'Buin [i-][w-][a-][g-]')'South Bougainville [i-][w-][a-][g-]');
North Bougainville	(('Rotokas [i-roo][w-rtk][a-2378][g-roto1249]','Konua [i-kyx][w-knu][a-140][g-rapo1238]')'North Bougainville [i-][w-][a-][g-]');
East New Britain	(('Taulil [i-tuh][w-tll][a-2635][g-taul1251]','Mali [i-gcc][w-mli][a-1527][g-mali1284]','Baining [i-byx][w-bng][a-30][g-qaqe1238]')'East New Britain [i-][w-][a-][g-]');
Orya-Mawes-Tor-Kwerba	((('Isirawa [i-srl][w-isi][a-2473][g-isir1237]','Kwerba [i-kwe][w-kwb][a-1848][g-nucl1595]')'Kwerba [i-][w-][a-][g-]',('Orya [i-ury][w-ory][a-2676][g-orya1242]','Berik [i-bkl][w-brk][a-36][g-beri1254]')'Tor [i-][w-][a-][g-]')'Orya-Mawes-Tor-Kwerba [i-][w-][a-][g-]');
Pama-Nyungan	(('Warumungu [i-wrm][w-wru][a-3188][g-waru1265]','Muruwari [i-zmu][w-mrw][a-2813][g-muru1266]',('Nyawaygi [i-nyt][w-nya][a-2233][g-nyaw1247]')'Nyawaygic [i-][w-][a-][g-]','Ngarinyeri [i-nay][w-ngr][a-2136][g-narr1259]',('Yalarnnga [i-ylr][w-ylr][a-3191][g-yala1262]','Kalkatungu [i-ktg][w-kgu][a-1826][g-kalk1246]')'Kalkatungic [i-][w-][a-][g-]',('Guugu Yimidhirr [i-kky][w-guu][a-1772][g-gugu1255]')'Guugu Yimidhirr [i-][w-][a-][g-]','Paakantyi [i-drl][w-pkn][a-1392][g-darl1243]',('Dharawal [i-tbh][w-dhw][a-2524][g-thur1254]','Dhurga [i-dhu][w-dhu][a-1319][g-dhur1239]')'Yuin-Kuric [i-][w-][a-][g-]','Gidabal [i-bdy][w-bca-bnj-bwa-byu-gid][a-1232][g-band1339]',('Margany [i-zmc][w-mny][a-2808][g-marg1253]','Warrungu [i-wrg][w-wgu][a-2738][g-waru1264]','Gunya [i-gyy][w-gny][a-1589][g-guny1241]','Biri [i-bzr][w-bii][a-1103][g-biri1256]')'Maric [i-][w-][a-][g-]',('Wagawaga {Australia} [i-wkw][w-wkw][a-3186][g-waka1274]','Gureng Gureng [i-gnr][w-ggu][a-1553][g-gure1255]','Dharumbal [i-bjy][w-dhb][a-1028][g-baya1257]')'Waka-Kabic [i-][w-][a-][g-]',('Yorta Yorta [i-xyy][w-][a-815][g-yort1237]')'Yotayotic [i-][w-][a-][g-]',('Gumbaynggir [i-kgs][w-gum][a-1744][g-kumb1268]','Yaygir [i-xyy][w-][a-813][g-yort1237]')'Gumbaynggiric [i-][w-][a-][g-]',('Bandjalang {Yugumbir} [i-bdy][w-bca-bnj-bwa-byu-gid][a-1231][g-band1339]','Bandjalang {Waalubal} [i-bdy][w-bca-bnj-bwa-byu-gid][a-1230][g-band1339]','Bandjalang {Casino} [i-bdy][w-bca-bnj-bwa-byu-gid][a-1229][g-band1339]','Bandjalang [i-bdy][w-bca-bnj-bwa-byu-gid][a-660][g-band1339]')'Bandjalangic [i-][w-][a-][g-]',('Kala Lagaw La [i-mwp][w-kly][a-659][g-kala1377]')'Kala Lagaw La [i-][w-][a-][g-]',('Bularnu [i-yil][w-][a-755][g-yind1248]','Yanyuwa [i-jao][w-yny][a-658][g-yany1243]')'Warluwarric [i-][w-][a-][g-]',('Djabugay [i-dyy][w-dja][a-1459][g-dyaa1242]','Yidiny [i-yii][w-yid][a-580][g-yidi1250]')'Yidinyic [i-][w-][a-][g-]',('Woiwurrung [i-wyi][w-][a-811][g-woiw1237]','Wathawurrung [i-wth][w-][a-808][g-wath1238]','Warrnambool [i-gjm][w-][a-806][g-warr1257]','Madimadi [i-dmd][w-][a-783][g-kuli1251]','Colac [i-][w-][a-759][g-cola1237]','Wemba Wemba [i-xww][w-][a-408][g-kuli1251]')'Kulinic [i-][w-][a-][g-]',('Gamilaraay [i-kld][w-gml-yuw][a-1774][g-gami1243]','Yuwaalaraay [i-kld][w-gml-yuw][a-1344][g-gami1243]','Ngiyambaa [i-wyb][w-ngi][a-210][g-wang1291]')'Wiraduric [i-][w-][a-][g-]',('Gupapuyngu [i-guf][w-guf][a-3148][g-gupa1247]','Ritharngu [i-rit][w-rit][a-2371][g-rita1239]','Gumatj [i-gnn][w-gmt][a-1552][g-guma1253]','Gaalpu [i-dhg][w-glp][a-1547][g-dhan1270]','Djambarrpuyngu [i-djr][w-djm][a-1335][g-djam1256]','Djinang [i-dji][w-djn][a-1333][g-djin1253]','Dhuwal {Datiwuy} [i-duj][w-dda-djp][a-1268][g-dhuw1249]','Djapu [i-duj][w-dda-djp][a-66][g-dhuw1249]')'Yolngu [i-][w-][a-][g-]',(('Gugadj [i-ggd][w-ggd][a-2837][g-guga1239]')'Gugadj [i-][w-][a-][g-]',('Yir Yiront [i-yiy][w-yir][a-2775][g-yiry1245]')'Southwest Pama [i-][w-][a-][g-]',('Thaypan [i-typ][w-thp][a-2649][g-thay1248]')'Rarmul Pama [i-][w-][a-][g-]',('Thaayorre [i-thd][w-thy][a-2562][g-thay1249]')'Western Pama [i-][w-][a-][g-]',('Umpila [i-ump][w-ump][a-3179][g-umpi1239]','Kuuku Ya`u [i-kuy][w-kuu][a-2354][g-kuuk1238]')'Northeastern Pama [i-][w-][a-][g-]',('Lamu-Lamu [i-lby][w-lla][a-1871][g-lamu1254]')'Lamalamic [i-][w-][a-][g-]',('Kunjen [i-kjn][w-kjn][a-1764][g-kunj1245]')'Kunjen [i-][w-][a-][g-]',('Mbabaram [i-vmb][w-][a-788][g-mbab1239]')'Southern Pama [i-][w-][a-][g-]',('Ngawun [i-nxn][w-ngw][a-2225][g-ngaw1240]','Mayi-Yapi [i-mnt][w-][a-787][g-mayk1239]')'Mayabic [i-][w-][a-][g-]',('Leningitij [i-lnj][w-agt-lnj][a-3130][g-leni1238]','Wik Munkan [i-wim][w-wmu][a-2722][g-wikm1247]','Wik Ngathana [i-wig][w-wn][a-2721][g-wikn1245]','Kugu Nganhcara [i-uwa][w-knc][a-2679][g-kuku1280]','Pakanha [i-pkn][w-pak][a-2303][g-paka1251]','Kuku-Yalanji [i-gvn][w-kya][a-1579][g-kuku1273]','Anguthimri [i-aid][w-][a-745][g-alng1239]','Uradhi [i-urf][w-][a-391][g-urad1238]')'Northern Pama [i-][w-][a-][g-]')'Paman [i-][w-][a-][g-]',('Wangkangurru [i-wgg][w-wgg][a-3185][g-wang1290]','Yandruwandha [i-ynd][w-inn][a-2920][g-yand1253]','Pitta Pitta [i-pit][w-ppi][a-2300][g-pitt1247]','Wangkumara [i-nbx][w-wan][a-2141][g-ngur1261]','Arabana [i-ard][w-abn][a-918][g-arab1267]','Diyari [i-dif][w-diy][a-64][g-dier1241]')'Karnic [i-][w-][a-][g-]',('Kaytej [i-gbb][w-kyt][a-3155][g-kayt1238]','Arrernte {Western} [i-are][w-awe][a-919][g-west2441]','Alyawarra [i-aly][w-aly][a-883][g-alya1239]','Mparntwe Arrernte [i-aer][w-amp-arr][a-193][g-east2379]')'Arandic [i-][w-][a-][g-]',('Balyku [i-nad][w-bly][a-3197][g-nija1241]','Dhalandji [i-dhl][w-dhl][a-3146][g-dhal1245]','Bayungu [i-bxj][w-bxj][a-3142][g-bayu1240]',('Nyungar [i-nys][w-nju][a-2232][g-nyun1247]')'Nyunga [i-][w-][a-][g-]','Ngadjumaja [i-nju][w-mrj-ngj][a-2179][g-ngad1258]','Nyangumarda [i-nna][w-nyr][a-2036][g-nyan1301]','Karadjeri [i-gbd][w-krj][a-1522][g-kara1476]',('Walmatjari [i-wmt][w-wlm][a-2728][g-walm1241]','Ngarinyman [i-nbj][w-bnr-ngy][a-2140][g-ngar1235]','Mudburra [i-dmw][w-][a-2104][g-mudb1240]','Gurindji [i-gue][w-gji][a-1567][g-guri1247]','Bilinara [i-nbj][w-bnr-ngy][a-1364][g-ngar1235]','Djaru [i-ddj][w-djr][a-1262][g-jaru1254]')'Ngumbin [i-][w-][a-][g-]',('Badimaya [i-bia][w-bdm][a-1015][g-badi1246]')'Wajari [i-][w-][a-][g-]',('Wangkajunga [i-mpj][w-mnj-mwa-ylb][a-3206][g-mart1256]','Wanman [i-wbt][w-wbt][a-3184][g-wanm1242]','Pintupi [i-piu][w-pin][a-2301][g-pint1250]','Ngaanyatjarra [i-ntj][w-ntj][a-2211][g-ngaa1240]','Martu Wangka [i-mpj][w-mnj-mwa-ylb][a-2064][g-mart1256]','Gugada [i-ktd][w-gug][a-1825][g-koka1244]','Yulparija [i-mpj][w-mnj-mwa-ylb][a-1361][g-mart1256]','Mantjiltjara [i-mpj][w-mnj-mwa-ylb][a-1360][g-mart1256]','Western Desert {Ooldea} [i-ntj][w-ntj][a-810][g-ngaa1240]')'Wati [i-][w-][a-][g-]',('Yingkarta [i-yia][w-yng][a-2770][g-ying1247]','Watjarri [i-wbv][w-wat][a-2710][g-waja1257]','Nhanda [i-yia][w-yng][a-795][g-ying1247]')'Kartu [i-][w-][a-][g-]',('Wirangu [i-wiw][w-wir][a-2723][g-wira1260]','Banggarla [i-bjb][w-bnl][a-1023][g-bang1339]','Adynyamathanha [i-adt][w-adn][a-837][g-adny1235]','Kaurna [i-zku][w-][a-775][g-kaur1267]')'Yura [i-][w-][a-][g-]',('Kariera [i-vka][w-vka][a-3182][g-kari1304]','Nyamal [i-nly][w-nly][a-3168][g-nyam1271]','Ngarla [i-nlr][w-nlr][a-3167][g-ngar1286]','Djiwarli [i-djl][w-][a-2917][g-djiw1239]','Yindjibarndi [i-yij][w-yin][a-2773][g-yind1247]','Warluwara [i-wrb][w-wlw][a-2737][g-warl1256]','Panyjima [i-pnw][w-pny][a-2316][g-pany1241]','Ngarluma [i-nrl][w-nlu][a-2198][g-ngar1287]','Dhargari [i-dhr][w-dhr][a-1318][g-dhar1247]','Martuthunira [i-vma][w-mrt][a-179][g-mart1255]')'Ngayardic [i-][w-][a-][g-]',('Warlpiri [i-wbp][w-wrl][a-404][g-warl1254]')'Ngarrka [i-][w-][a-][g-]',('Juat [i-nys][w-nju][a-773][g-nyun1247]','Pitjantjatjara [i-pjt][w-pit][a-510][g-pitj1243]',(('Yankunytjara [i-kdd][w-ynk][a-416][g-yank1247]')'Western Desert [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'Nyungic [i-][w-][a-][g-]')'Southwestern Pama-Nyungan [i-][w-][a-][g-]',('Giramay {Dyirbal} [i-dbl][w-dyi][a-2928][g-dyir1250]','Warrgamay [i-wgy][w-wrg][a-2719][g-warr1255]','Dyirbal [i-dbl][w-dyi][a-71][g-dyir1250]')'Dyirbalic [i-][w-][a-][g-]')'Pama-Nyungan [i-][w-][a-][g-]');
Mangarayan	(('Mangarayi [i-mpc][w-myi][a-173][g-mang1381]')'Mangarayan [i-][w-][a-][g-]');
Mirndi	((('Jaminjung [i-djd][w-jam][a-1331][g-djam1255]')'Yarram {Western Mirndi} [i-][w-][a-][g-]',('Wambaya [i-wmb][w-wam][a-575][g-wamb1258]','Djingili [i-jig][w-dji][a-68][g-djin1251]')'Barkly {Eastern Mirndi} [i-][w-][a-][g-]')'Mirndi [i-][w-][a-][g-]');
Tangkic	(('Lardil [i-lbz][w-lrd][a-1872][g-lard1243]',(((('Kayardild [i-gyd][w-kay][a-128][g-kaya1319]')'South Wellesley [i-][w-][a-][g-]')'Group3 [i-][w-][a-][g-]')'South Wellesley [i-][w-][a-][g-]')'Southern Tangkic [i-][w-][a-][g-]','Yukulta [i-gcd][w-yuk][a-424][g-gang1267]')'Tangkic [i-][w-][a-][g-]');
Gunwingguan	(('Gunbalang [i-wlg][w-gnb][a-2724][g-kunb1251]','Wagiman [i-waq][w-wag][a-2702][g-wage1238]','Ngalkbun [i-ngk][w-nkb][a-2161][g-ngal1292]','Mayali [i-gup][w-bbw][a-655][g-gunw1252]','Rembarrnga [i-rmb][w-rmb][a-473][g-remb1249]',('Ngandi [i-nid][w-ngn][a-2169][g-ngan1295]','Nunggubuyu [i-nuy][w-nug][a-318][g-nung1290]')'Ngandi-Nunggubuyu [i-][w-][a-][g-]',('Waray [i-wrz][w-wry][a-400][g-wara1290]')'Western Gunwingguan [i-][w-][a-][g-]','Ngalakan [i-nig][w-ngl][a-209][g-ngal1293]','Gunwinggu [i-gup][w-bbw][a-93][g-gunw1252]')'Gunwingguan [i-][w-][a-][g-]');
Wagiman - Wardaman	(('Wardaman [i-wrr][w-wrd][a-401][g-ward1246]')'Wagiman - Wardaman [i-][w-][a-][g-]');
Tiwi	(('Tiwi [i-tiw][w-tiw][a-378][g-tiwi1244]')'Tiwi [i-][w-][a-][g-]');
Western Daly	(('Maramanandji [i-zmm][w-][a-2838][g-mari1417]','Maringarr [i-zmt][w-mrr][a-2812][g-mari1419]','Emmi [i-zmr][w-mku][a-891][g-mara1386]','Maranungku [i-zmr][w-mku][a-556][g-mara1386]','Marrithiyel [i-mfr][w-mrh][a-178][g-mari1424]')'Western Daly [i-][w-][a-][g-]');
